Date,Timepoint,PLUG.ID,Geno,Photo.Number,Tank,Temperature,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral,Notes
5/11/19,Time0,2392,MC_206,1,1,Ambient,137.619,72.768,105.327,84.241,62.436,47.693,
5/11/19,Time0,2734,MC_206,1,1,Ambient,137.619,72.768,105.327,114.076,87.528,59.671,
5/11/19,Time0,1050,MC_206,1,1,Ambient,137.619,72.768,105.327,135.262,109.618,81.399,
5/11/19,Time0,1048,MC_206,1,1,Ambient,137.619,72.768,105.327,111.835,86.385,64.091,
5/11/19,Time0,1477,MC_206,1,1,Ambient,137.619,72.768,105.327,104.851,79.09,69.192,
5/11/19,Time0,1570,MC_291,3,1,Ambient,139.432,75.988,109.962,111.541,87.801,64.986,
5/11/19,Time0,1574,MC_291,3,1,Ambient,139.432,75.988,109.962,114.86,91.012,69.18,
5/11/19,Time0,1093,MC_291,3,1,Ambient,139.432,75.988,109.962,127.078,102.425,77.273,
5/11/19,Time0,1639,MC_291,3,1,Ambient,139.432,75.988,109.962,119.21,95.783,76.258,
5/11/19,Time0,1124,MC_291,3,1,Ambient,139.432,75.988,109.962,128.279,103.828,81.213,
5/11/19,Time0,1539,MC_248,5,1,Ambient,135.713,76.806,106.567,120.029,96.153,70.152,
5/11/19,Time0,1740,MC_248,5,1,Ambient,135.713,76.806,106.567,135.109,108.3,74.635,
5/11/19,Time0,1271,MC_248,5,1,Ambient,135.713,76.806,106.567,135.891,108.462,77.484,
5/11/19,Time0,1544,MC_248,5,1,Ambient,135.713,76.806,106.567,131.623,107.078,76.097,
5/11/19,Time0,2555,MC_248,5,1,Ambient,135.713,76.806,106.567,125.539,102.26,77.108,
5/11/19,Time0,2519,MC_248,5,1,Ambient,135.713,76.806,106.567,128.972,105.499,83.727,
5/11/19,Time0,2363,MC_289,7,1,Ambient,134.822,74.198,105.873,139.75,117.08,87.132,
5/11/19,Time0,1721,MC_289,7,1,Ambient,134.822,74.198,105.873,130.916,109.36,80.578,
5/11/19,Time0,2530,MC_289,7,1,Ambient,134.822,74.198,105.873,144.909,122.335,94.369,
5/11/19,Time0,2754,MC_289,7,1,Ambient,134.822,74.198,105.873,125.713,104.019,80.27,
5/11/19,Time0,1535,MC_289,7,1,Ambient,134.822,74.198,105.873,142.892,121.386,97.233,
5/11/19,Time0,1629,MC_206,9,2,High,146.868,78.495,114.381,99.849,75.132,52.087,
5/11/19,Time0,1773,MC_206,9,2,High,146.868,78.495,114.381,104.056,78.92,58.179,
5/11/19,Time0,1726,MC_206,9,2,High,146.868,78.495,114.381,130.385,105.53,80.946,
5/11/19,Time0,1688,MC_206,9,2,High,146.868,78.495,114.381,112.106,85.88,70.009,
5/11/19,Time0,1078,MC_206,9,2,High,146.868,78.495,114.381,132.089,108.144,91.184,
5/11/19,Time0,1591,MC_291,11,2,High,140.681,73.732,110.979,109.665,82.151,59.535,
5/11/19,Time0,2396,MC_291,11,2,High,140.681,73.732,110.979,120.41,92.804,70.685,
5/11/19,Time0,1725,MC_291,11,2,High,140.681,73.732,110.979,118.958,92.465,68.676,
5/11/19,Time0,2411,MC_291,11,2,High,140.681,73.732,110.979,132.215,103.595,79.872,
5/11/19,Time0,1178,MC_291,11,2,High,140.681,73.732,110.979,120.317,95.43,75.418,
5/11/19,Time0,2747,MC_248,13,2,High,135.39,71.663,105.179,129.545,105.212,75.282,
5/11/19,Time0,1095,MC_248,13,2,High,135.39,71.663,105.179,137.503,111.068,79.857,
5/11/19,Time0,1468,MC_248,13,2,High,135.39,71.663,105.179,128.191,98.246,69.548,
5/11/19,Time0,2740,MC_248,13,2,High,135.39,71.663,105.179,153.807,135.148,111.292,
5/11/19,Time0,1142,MC_248,13,2,High,135.39,71.663,105.179,119.295,92.476,69.222,dropped and broke top tip off
5/11/19,Time0,1717,MC_289,15,2,High,140.334,73.179,111.639,127.234,100.787,78.401,Mostly dead already
5/11/19,Time0,2875,MC_289,15,2,High,140.334,73.179,111.639,133.758,106.073,81.813,
5/11/19,Time0,1624,MC_289,15,2,High,140.334,73.179,111.639,144.793,120.054,97.18,
5/11/19,Time0,2183,MC_289,15,2,High,140.334,73.179,111.639,138.682,109.276,81.778,
5/11/19,Time0,2023,MC_289,15,2,High,140.334,73.179,111.639,137.191,114.646,104.111,
5/11/19,Time0,1323,MC_206,17,3,High,139.672,73.18,110.352,134.22,109.324,84.279,
5/11/19,Time0,1063,MC_206,17,3,High,139.672,73.18,110.352,110.556,85.257,67.886,
5/11/19,Time0,1327,MC_206,17,3,High,139.672,73.18,110.352,147.282,126.864,106.518,
