Name	MC-289_T1-Amb_1603	MC-289_T1-Amb_1609	MC-289_T1-HiT_2878	MC-289_T1-HiT_2023	MC-289_T3-Amb_1595	MC-289_T3-Amb_2741	MC-289_T3-HiT_2183	MC-289_T3-HiT_2058	MC-289_T5-Amb_1721	MC-289_T5-Amb_2874	MC-289_T5-HiT_1341	MC-289_T5-HiT_2998	MC-289_Field_289-1	MC-289_Field_289-2
Montipora_capitata_PredGene_g29386	11.6	16.5	0	4	8.2	9	14	11	8.5	16.8	19	24.9	5.4	27.7
Montipora_capitata_PredGene_g10218	13.3	13.4	8.9	0	17.4	17.1	6.2	9.5	19.2	17.7	9.7	19	2.3	5.2
Montipora_capitata_PredGene_g15360	4.1	4.8	3.6	0	1.9	2.4	7.3	0	201.8	3.6	13.7	236.4	0	0
Montipora_capitata_PredGene_g48521	137.4	73.5	16.7	54.4	48.8	53.4	94.1	105.7	88.3	250.7	189.7	289.4	63.1	219.5
Montipora_capitata_PredGene_adi2mcaRNA1407_R0	15.3	14.1	3.2	6.9	6	9	11.2	8.1	15.2	24.1	20.8	4.4	8.4	15.7
Montipora_capitata_PredGene_g25680	26.6	32	13.5	6.6	27.6	16.8	14.1	9.3	18.2	29.8	25.5	15.6	23.6	30.4
Montipora_capitata_PredGene_g40422	448.8	385.4	129.1	144.6	293	175.8	167.2	109.6	1322.7	367.8	170.4	146	193.1	194
Montipora_capitata_PredGene_g52461	22.2	31.5	9.1	8.7	15.8	5	2.2	3	29.6	17.6	17.4	9.9	8	17.3
Montipora_capitata_PredGene_g38104	128.7	160.4	52.5	47	78.7	61.3	57.4	53.4	131.6	176	165.2	111.2	95.6	117.5
Montipora_capitata_PredGene_g42032	333.6	379.1	117.4	143.8	275	116.5	102.5	91.6	509.4	384.4	214.6	187.4	135.3	179
Montipora_capitata_PredGene_adi2mcaRNA38625_R0	35.7	66.2	30	10.5	69.3	48.7	24.4	32.1	0.6	48.3	25.8	20.3	73	45
Montipora_capitata_PredGene_g52607	249.8	223.8	80.7	97.6	156.2	89.8	133.5	119.4	187	248.6	221.1	146.8	180	229.7
Montipora_capitata_PredGene_g6372	467.2	480.8	104.3	305.7	408.2	348.9	193.7	204	356.5	528.9	344.2	282.7	312.4	423.9
Montipora_capitata_PredGene_adi2mcaRNA6021_R0	14.6	14.5	8.4	3.6	8.4	10.8	0	6	13.6	6.4	4.8	12.2	18.9	33.8
Montipora_capitata_PredGene_g55691	12.4	42.5	17.3	4.6	40.4	39.1	12	9	32.7	22.7	16	52	62.9	146.5
Montipora_capitata_PredGene_g47167	122	122.3	50.1	46.7	91	57.4	38.5	47.4	152.2	126.9	87.2	102.9	63.2	96.9
Montipora_capitata_PredGene_g55687	110.9	152.2	98.1	27.3	187.5	171.9	48.8	48.7	180.1	68.6	27.8	111.3	238.4	473.8
Montipora_capitata_PredGene_g35935	728.1	864.1	463.7	218.7	774.5	612.1	198.9	157.5	924.5	330.8	252	561.8	1045.1	1781
Montipora_capitata_PredGene_g43945	111.8	121.9	40	54.9	122.7	80.9	42.3	37.5	153.8	97.1	64.9	60.5	55.7	74.4
Montipora_capitata_PredGene_g21657	252.3	290.3	88.8	133.2	179	97.7	59.5	53.5	314.5	303.3	165.4	106.9	155.5	179.9
Montipora_capitata_PredGene_g60691	77.9	114.7	42.8	34.1	147.1	136.6	12.2	14.9	92.5	79.1	15.7	54.7	93.2	124.3
Montipora_capitata_PredGene_g54595	76.5	79.6	19.4	51.2	55.1	49.2	49.1	76.1	152.8	171.6	159.9	125.7	37	62.9
Montipora_capitata_PredGene_g25062	522.5	642.1	209.8	267.8	388.5	354.2	689.9	570.5	475.6	881.1	1004.3	918.7	439.9	988.7
Montipora_capitata_PredGene_g35898	208.4	226.6	171.9	46.1	206.1	161.4	78.7	101.5	44	166.5	81.8	273.7	208.2	196.1
Montipora_capitata_PredGene_g29284	401.9	500.4	177.8	190.9	240.6	226.5	527.9	431.7	409.6	796.8	843.3	755.9	245.3	727.4
Montipora_capitata_PredGene_g19936	367.8	357.4	116.4	196.9	267.6	142.3	122.6	131.4	487.9	338.7	244.2	280.1	181.4	232.8
Montipora_capitata_PredGene_adi2mcaRNA10296_R0	49.8	35.5	11.5	27.8	20.4	21.5	23.1	32.8	50.7	81.7	50.4	39.8	22.9	46.9
Montipora_capitata_PredGene_g46178	15.7	17.8	10	5.1	18.5	13.8	7.3	6.7	8.2	9.4	10.6	11.4	15.7	36.3
Montipora_capitata_PredGene_g23331	520.5	616.6	208.4	285.1	272.3	276.4	265.2	257	659.2	711.1	564.5	564.2	250.5	541
Montipora_capitata_PredGene_g28165	25.8	17.4	14.3	5.9	14.5	15.8	6.2	6.8	44	16.6	7.2	8.5	11.9	18.1
Montipora_capitata_PredGene_g25068	39.3	51.6	22.3	17.4	38.1	18.4	14.4	16.3	41.9	49.2	37.6	20.9	50.3	56.6
Montipora_capitata_PredGene_g12401	23.8	107	26.2	18.9	12.1	47	31	35.8	35.4	9.6	11.1	4	26.8	3.1
Montipora_capitata_PredGene_g46139	9.2	11.4	5.5	3.8	12.5	12.3	10.6	8.6	11	10.6	9.2	6.4	8.4	10.9
Montipora_capitata_PredGene_g33395	26.4	34.1	11	16.9	12.9	13.2	14.3	13.6	41.6	50.9	23.8	32.9	12.8	36.3
Montipora_capitata_PredGene_g54037	29.3	41.9	25.6	10.4	52.8	48.4	18.1	17.6	5	28.2	27.6	321.8	81.8	153.3
Montipora_capitata_PredGene_g42003	223.8	216.8	91	115.9	162.2	162	87.6	53	206.1	213.1	99.9	76.9	143.6	179.3
Montipora_capitata_PredGene_g15776	329.7	212.2	88.8	171.7	238.1	211.6	130.1	164	202.8	469.3	228.1	118.2	347.8	442.8
Montipora_capitata_PredGene_g18729	31.1	27.7	12.4	15.3	21.1	18.6	14.6	11.1	31.4	36.9	25.9	19.1	28.2	52.3
Montipora_capitata_PredGene_g37578	224.2	276.1	109	125.8	146.5	235.6	56.2	54	82.3	141.7	69	193.6	107.2	142.2
Montipora_capitata_PredGene_g70558	20.6	19.7	7.1	12.7	18.5	13.7	10.6	12.2	16.7	16.8	11.5	18	10.4	13
Montipora_capitata_PredGene_g3333	128.3	118.4	48	70.4	108.9	87.5	97.6	103.5	119.1	220.9	174.3	195.1	138.8	215.8
Montipora_capitata_PredGene_g62404	684.7	811.4	306.7	409.5	448.3	434.5	569	506.7	771.8	930.3	766.5	799.6	410.4	917
Montipora_capitata_PredGene_adi2mcaRNA36659_R0	70.1	112.7	92.2	19.3	111.8	118	57.4	60.6	119.2	50.2	58.2	83.7	74.3	86
Montipora_capitata_PredGene_g6370	308.9	396.4	139.8	200.7	205.3	175.3	162.7	152.4	376	421.7	368.3	296.2	169	348.7
Montipora_capitata_PredGene_g52840	113.3	51.6	27.8	48.9	19.5	18.8	31.1	25.6	43.3	64.9	43.1	32.1	16.6	38.6
Montipora_capitata_PredGene_g31475	204.3	400.1	218.8	87.4	203.3	225.8	286.2	317.1	263.9	280.9	221.9	225.1	341.3	271.5
Montipora_capitata_PredGene_g44129	11.4	8.2	5.9	3.8	15.7	10.6	7.5	6.3	18.5	6	0	28	20.6	34.9
Montipora_capitata_PredGene_g61747	30.3	25.6	11.5	16.3	23.2	21.1	18.9	19.6	18	39.7	28.6	32.3	25.7	34.6
Montipora_capitata_PredGene_g32754	143.3	167.9	66.9	87.7	214.3	114	69.1	69.8	187.9	109	82.1	96.3	112.2	84.8
Montipora_capitata_PredGene_g29788	280.8	437.9	174.4	179.9	301.3	316.5	87.9	68.5	87.6	177.3	104.4	151.7	94.6	200.8
Montipora_capitata_PredGene_g39289	9.1	10.7	6.1	4.1	6.7	12.3	6.7	3	8.2	0	2.7	9.5	9.8	19.1
Montipora_capitata_PredGene_g23756	99.1	93.5	48.7	48.9	90.2	110.8	36.3	44.7	112.4	167.7	59.5	51.8	79.2	102.3
Montipora_capitata_PredGene_g34424	688.2	555.3	379.8	258.8	597.6	429.1	107.7	103.3	710.8	351.1	149.7	994.4	504.2	820.4
Montipora_capitata_PredGene_g4671	32.8	53.4	25.1	18.3	41.5	38.6	15.4	15.4	53.3	14.9	14	43.1	37.4	87.2
Montipora_capitata_PredGene_g52471	150.7	122.7	36.6	133	121.5	114.4	210.5	187.4	73.1	187.6	324.1	197.3	110.4	205.4
Montipora_capitata_PredGene_g41902	77.5	116	51.4	46.2	97.1	80.5	88.8	95.2	147.7	76.3	72	64.3	51.9	54.9
Montipora_capitata_PredGene_adi2mcaRNA7669_R0	10.9	9	6.3	4.1	7.8	9.1	3.8	10.2	6.4	6.3	5.3	11	14.3	10.2
Montipora_capitata_PredGene_g63469	12.3	12.9	5.6	7.6	16.5	9.5	12.4	14.8	9.7	10.1	10.4	12.5	11.8	12.6
