Data S1. Processed proteomic data for M. capitata colony MC289 (n=2 per treatment/time point). Normalized abundance values and peptide statistics are shown for each protein identified. 																																	
Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	MC-289_T1-Amb_1603	MC-289_T1-Amb_1609	MC-289_T1-HiT_2878	MC-289_T1-HiT_2023	MC-289_T3-Amb_1595	MC-289_T3-Amb_2741	MC-289_T3-HiT_2183	MC-289_T3-HiT_2058	MC-289_T5-Amb_1721	MC-289_T5-Amb_2874	MC-289_T5-HiT_1341	MC-289_T5-HiT_2998	MC-289_Field_289-1	MC-289_Field_289-2	# Protein Groups	Modifications
FALSE	High	Master Protein	Montipora_capitata_PredGene_g29386	Montipora_capitata_PredGene_g29386	0	FALSE	11.189	15	2	2	2	303	33.8	6.57	0	2	0	11.6	16.5		4	8.2	9	14	11	8.5	16.8	19	24.9	5.4	27.7	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g10218	Montipora_capitata_PredGene_g10218	0	FALSE	6.969	10	2	2	2	323	34.6	8.21	0	2	0	13.3	13.4	8.9		17.4	17.1	6.2	9.5	19.2	17.7	9.7	19	2.3	5.2	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g15360	Montipora_capitata_PredGene_g15360	0	FALSE	6.394	8	3	4	3	354	38.5	9.11	0	3	0	4.1	4.8	3.6		1.9	2.4	7.3		201.8	3.6	13.7	236.4			1	
FALSE	Medium	Master Protein	Montipora_capitata_PredGene_g48521	Montipora_capitata_PredGene_g48521	0.011	FALSE	1.663	10	1	1	1	91	9.7	10.64	0	1	0	137.4	73.5	16.7	54.4	48.8	53.4	94.1	105.7	88.3	250.7	189.7	289.4	63.1	219.5	1	Met-loss [N-Term]
FALSE	High	Master Protein	Montipora_capitata_PredGene_adi2mcaRNA1407_R0	Montipora_capitata_PredGene_adi2mcaRNA1407_R0	0	FALSE	5.536	2	3	3	3	1436	154.7	5.05	0	3	0	15.3	14.1	3.2	6.9	6	9	11.2	8.1	15.2	24.1	20.8	4.4	8.4	15.7	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g25680	Montipora_capitata_PredGene_g25680	0.002	FALSE	2.317	7	1	1	1	135	14.3	4.56	0	1	0	26.6	32	13.5	6.6	27.6	16.8	14.1	9.3	18.2	29.8	25.5	15.6	23.6	30.4	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g40422	Montipora_capitata_PredGene_g40422	0	FALSE	23.507	16	3	5	3	241	28	4.09	12.11	3	0	448.8	385.4	129.1	144.6	293	175.8	167.2	109.6	1322.7	367.8	170.4	146	193.1	194	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g52461	Montipora_capitata_PredGene_g52461	0	FALSE	8.584	8	3	5	3	377	43.7	3.89	0	3	0	22.2	31.5	9.1	8.7	15.8	5	2.2	3	29.6	17.6	17.4	9.9	8	17.3	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g38104	Montipora_capitata_PredGene_g38104	0	FALSE	11.337	14	3	3	3	288	33.7	4.37	2.15	3	0	128.7	160.4	52.5	47	78.7	61.3	57.4	53.4	131.6	176	165.2	111.2	95.6	117.5	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g42032	Montipora_capitata_PredGene_g42032	0	FALSE	19.417	19	6	7	6	273	30.8	4.78	0	6	0	333.6	379.1	117.4	143.8	275	116.5	102.5	91.6	509.4	384.4	214.6	187.4	135.3	179	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_adi2mcaRNA38625_R0	Montipora_capitata_PredGene_adi2mcaRNA38625_R0	0	FALSE	19.189	5	4	4	4	1156	128.4	6.49	5.76	4	0	35.7	66.2	30	10.5	69.3	48.7	24.4	32.1	0.6	48.3	25.8	20.3	73	45	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g52607	Montipora_capitata_PredGene_g52607	0.003	FALSE	2.113	6	1	2	1	123	13.9	7.71	2.08	1	0	249.8	223.8	80.7	97.6	156.2	89.8	133.5	119.4	187	248.6	221.1	146.8	180	229.7	1	
FALSE	High	Master Protein	Montipora_capitata_PredGene_g6372	Montipora_capitata_PredGene_g6372	0	FALSE	14.566	12	3	4	3	264	28.2	10.04	4.97	3	0	467.2	480.8	104.3	305.7	408.2	348.9	193.7	204	356.5	528.9	344.2	282.7	312.4	423.9	1	
